Order date,product key,customer key,region key,order quantity
43101,160,20295,8,16
43101,82,23078,5,17
43101,110,23477,8,8
43101,69,28480,6,15
43101,183,15328,4,9
43101,223,19314,4,13
43101,244,20494,9,7
43101,204,14794,7,15
43101,53,17227,5,3
43101,285,25054,1,8
43102,172,25311,5,18
43102,192,22421,1,4
43102,161,15912,3,9
43102,250,21269,8,2
43102,1,16600,8,7
43102,8,17605,9,18
43102,14,13741,5,20
43102,123,28654,2,18
43102,249,13700,8,18
43102,41,14909,2,15
43102,203,12004,10,3
43102,151,20697,10,8
43102,208,19040,8,3
43102,82,28207,6,15
43102,197,19725,2,18
43102,69,17730,6,15
43103,268,22634,5,2
43103,220,11432,6,13
43103,245,13128,7,2
43103,137,23639,6,16
43103,16,22878,7,12
43103,217,21248,10,7
43103,84,18930,10,7
43103,125,20676,5,12
43103,176,13299,10,16
43103,260,13599,10,6
43103,112,24227,8,10
43103,39,28431,9,10
43104,48,26400,6,12
43104,20,14590,8,8
43104,292,17365,9,15
43104,264,28185,3,5
43104,251,27404,8,13
43104,257,12930,4,10
43104,252,17308,7,4
43104,148,26765,9,13
43104,127,20358,5,14
43104,10,12001,9,11
43104,61,11602,10,6
43104,154,19305,6,1
43105,179,28335,9,5
43105,248,19499,4,3
43105,162,22064,2,18
43105,252,19474,2,7
43105,254,28347,3,10
43105,157,17703,2,18
43105,10,28915,2,9
43105,185,20004,4,5
43105,44,14579,4,19
43105,231,24484,6,9
43105,293,24744,9,15
43105,118,17111,2,4
43106,96,18949,5,8
43106,271,21969,4,1
43106,208,28490,3,20
43106,158,15950,10,3
43106,260,18900,7,16
43106,253,12142,6,17
43106,149,16483,6,6
43106,109,12009,9,18
43106,239,15168,5,15
43106,89,23438,3,18
43106,286,11535,1,1
43106,227,26814,4,18
43106,100,15713,7,12
43106,278,28348,3,2
43107,277,29264,9,8
43107,35,26047,1,7
43107,260,15735,9,6
43107,250,12972,5,8
43107,53,27103,7,20
43107,173,21085,2,16
43107,165,24952,1,17
43107,182,28920,1,15
43108,274,26258,5,10
43108,291,26497,10,6
43108,110,28581,10,16
43108,187,20593,10,11
43108,18,22565,5,18
43108,220,28398,9,4
43108,160,17297,9,14
43108,260,24116,4,13
43108,176,28955,7,8
43108,214,14391,2,3
43108,283,24260,9,11
43108,160,13025,2,13
43108,229,11549,4,5
43108,132,25101,4,11
43108,221,22038,5,10
43108,124,13856,7,20
43108,77,17143,9,10
43109,32,23900,2,12
43109,166,15031,6,13
43109,4,24100,4,20
43109,231,25164,1,20
43109,108,14445,1,12
43109,118,15047,3,8
43109,216,14558,10,8
43109,174,29428,2,3
43109,245,23683,6,4
43109,222,20792,5,10
43109,119,17455,1,1
43110,149,15601,9,15
43110,231,14934,7,7
43110,64,14848,9,11
43110,135,22678,8,11
43110,241,29054,7,17
43110,74,21618,1,7
43110,114,14346,7,15
43110,238,16674,6,12
43110,83,22337,3,17
43111,242,13395,8,2
43111,202,24028,2,18
43111,122,11253,10,11
43111,242,12415,5,7
43111,263,13728,7,14
43111,73,22187,4,15
43111,95,24603,3,19
43111,24,15942,8,11
43111,221,28691,9,11
43111,16,22878,7,16
43111,287,18639,3,18
43111,46,26743,7,3
43111,19,18322,8,19
43111,284,27708,1,1
43111,148,28654,5,8
43111,251,26778,6,16
43112,242,24020,6,14
43112,125,13340,8,2
43112,146,28472,3,16
43112,40,11288,1,9
43112,94,27391,6,20
43112,68,11291,9,19
43112,8,13552,2,16
43112,220,26672,5,14
43112,180,19750,8,11
43112,224,24938,5,10
43112,165,21204,2,18
43112,34,13987,4,2
43112,198,18150,3,19
43113,198,27245,6,17
43113,259,16018,9,6
43113,129,14716,7,20
43113,249,22832,10,1
43113,284,12194,1,10
