Order date,product key,customer key,region key,order quantity
43831,95,28701,5,18
43831,260,13887,7,19
43831,139,11585,10,10
43831,91,26093,7,17
43831,68,26929,2,4
43831,38,13236,8,20
43831,112,15964,2,8
43831,196,25753,10,19
43831,104,14976,7,8
43831,283,23481,10,4
43831,79,18583,8,5
43831,108,13707,1,17
43831,233,11897,9,15
43831,21,17387,4,16
43831,102,15141,1,7
43831,226,15477,7,3
43831,153,18841,2,2
43831,265,19267,3,5
43831,80,21028,2,12
43831,187,27173,8,5
43831,55,24259,1,5
43831,157,19999,4,9
43831,122,15438,9,20
43831,23,21248,3,18
43831,28,12622,5,5
43831,41,28909,4,12
43831,291,24719,5,2
43831,69,22640,5,12
43831,160,23201,9,2
43831,191,24772,2,10
43831,59,19633,3,15
43831,186,23515,2,9
43831,256,24347,1,5
43831,98,12868,7,18
43831,238,20933,4,13
43831,21,23404,7,2
43831,177,11327,9,16
43831,129,19072,6,1
43831,147,21975,7,7
43831,129,18551,6,20
43831,87,20917,9,8
43831,124,14741,5,15
43831,111,17135,10,17
43831,199,14472,3,14
43831,2,19923,4,5
43831,271,20255,4,6
43831,251,25641,3,11
43831,23,25564,3,12
43831,161,18848,7,20
43831,39,26946,10,4
43831,22,28300,9,12
43831,40,27625,8,16
43831,229,28895,7,1
43831,85,17765,5,7
43831,21,26998,4,17
43831,135,16702,6,18
43831,258,26159,8,8
43831,2,24096,1,8
43831,55,17196,2,13
43831,73,14753,1,19
43831,174,12132,3,3
43831,240,12999,7,5
43831,100,28089,2,8
43831,285,29408,1,5
43831,90,12532,5,5
43831,58,29463,3,18
43831,79,22085,7,14
43831,111,15183,6,3
43831,177,16608,10,19
43831,212,14758,1,5
43831,30,27392,3,8
43831,150,12199,3,17
43831,6,22113,4,7
43831,225,19999,3,6
43831,55,24750,5,13
43831,269,20284,2,3
43831,122,14088,4,20
43831,107,11872,6,18
43831,229,28447,8,14
43831,164,14393,2,17
43831,88,11063,8,14
43831,2,21088,10,10
43831,54,28889,7,8
43831,251,23001,1,7
43831,24,17455,2,6
43831,52,23428,6,14
43831,44,24655,9,12
43831,118,25044,5,7
43831,77,12413,4,13
43831,54,16904,3,1
43831,19,29092,6,20
43831,237,21954,7,17
43831,293,16749,4,8
43831,176,12829,4,16
43831,80,12589,1,19
43831,91,15750,1,19
43831,65,22946,4,18
43831,215,26653,10,3
43832,159,12113,2,4
43832,264,16082,6,13
43832,176,22908,3,18
43832,262,25488,3,3
43832,251,12114,9,12
43832,22,28616,6,6
43832,103,27040,8,19
43832,166,11627,8,7
43832,60,23140,2,13
43832,71,12918,7,14
43832,182,21604,2,9
43832,285,21502,10,2
43832,63,17301,6,7
43832,108,26976,4,1
43832,44,16100,5,15
43832,204,23941,10,14
43832,225,13916,7,4
43832,91,27279,5,11
43832,195,21669,7,4
43832,76,22167,3,16
43832,233,22981,4,11
43832,28,23284,8,1
43832,84,18805,5,16
43832,151,27131,5,20
43832,93,24078,2,4
43832,270,14072,9,17
43832,288,18072,10,14
43832,91,15974,3,6
43832,148,16640,8,12
43832,246,25500,4,8
43832,126,11151,4,9
43832,72,20620,6,3
43832,196,12749,1,13
43832,119,29172,5,8
43832,254,29212,6,18
43832,85,23359,7,17
43832,31,21954,7,9
43832,61,23574,10,6
43832,137,11750,9,15
43832,194,11040,1,2
43832,64,27309,10,15
43832,128,24150,9,11
43832,244,22550,6,10
43832,262,13651,4,8
43832,192,15620,8,10
43832,223,21461,2,17
43832,122,13480,10,5
43832,165,19309,4,18
43832,212,22028,9,16
43832,290,12839,2,7
43832,152,16883,2,17
43832,269,16816,1,19
43832,13,15837,7,11
43832,276,16232,10,2
43832,96,16875,1,12
43832,30,20877,4,1
43832,216,17236,4,3
43832,66,24601,8,3
43832,210,26017,3,8
43832,42,27730,8,5
43832,151,17715,9,5
43832,219,16679,5,14
43832,203,28494,4,17
43832,225,18817,1,6
43832,200,26913,5,3
43832,238,18766,1,18
43832,31,24532,10,9
43832,227,19262,5,5
43832,199,24299,4,1
43832,219,29009,9,12
43832,246,25515,4,14
43832,59,26091,2,5
43832,174,12826,10,12
43832,268,28369,4,19
43832,131,14175,1,15
43832,62,24485,8,13
43832,286,17223,10,17
43832,144,22861,3,13
43832,131,16203,4,1
43832,5,25340,9,17
43832,250,25749,4,2
43832,39,23196,9,7
43832,113,11784,6,4
43832,56,22653,5,6
43832,70,25511,1,9
43832,191,23054,6,15
43832,191,19773,7,9
43832,105,24236,10,16
43832,163,11580,7,18
43832,263,28499,9,12
43832,56,18658,10,3
43832,221,17237,10,17
43832,203,25641,8,16
43832,11,23683,3,4
43832,242,23739,8,4
43832,28,19872,6,11
43832,80,22974,1,19
43832,193,22863,6,15
43832,229,27786,4,14
43832,84,27403,4,6
43832,136,16655,8,4
43832,177,16001,5,14
43832,232,21064,1,12
43832,159,22392,4,9
43832,249,29133,2,4
43832,74,16365,2,15
43832,249,27040,7,19
43832,278,23808,4,12
43832,33,22000,9,5
43832,218,24825,6,12
43832,269,12869,8,3
43832,188,11346,1,18
43832,46,20738,2,3
43832,77,23083,6,12
43832,88,28397,4,20
43832,108,18318,8,14
43832,284,14420,5,20
43832,126,15707,1,10
43832,141,29344,2,7
43832,109,12782,2,20
43832,228,16371,10,17
43832,96,24733,8,3
43832,43,15290,7,7
43832,242,29093,4,17
43832,40,23173,10,19
43832,104,28215,1,1
43832,289,23404,3,6
43832,108,24937,10,8
43832,149,11817,8,8
43832,125,23082,10,6
43832,74,11673,8,19
43832,60,28742,7,4
43832,285,26437,1,2
43832,152,18750,1,11
43832,119,11098,1,16
43833,170,14612,2,2
43833,82,20523,6,1
43833,176,23104,8,7
43833,262,19792,1,4
43833,27,13886,9,5
43833,179,13932,3,3
43833,76,18105,2,12
43833,103,22222,9,19
43833,51,18304,3,12
43833,218,14063,7,5
43833,81,16572,4,7
43833,121,19691,3,5
43833,27,20993,4,4
43833,35,17935,6,6
43833,6,13433,8,10
43833,241,23725,2,6
43833,241,20327,3,20
43833,175,11591,1,13
43833,266,11660,8,20
43833,115,11526,8,20
43833,34,25694,1,12
43833,223,22931,4,7
43833,204,24301,3,7
43833,227,26121,6,19
43833,28,11817,6,11
43833,257,14201,5,7
43833,147,28791,5,13
43833,54,22127,1,18
43833,233,18003,5,19
43833,45,29154,7,6
43833,8,17852,3,10
43833,267,23221,5,19
43833,111,20777,9,1
43833,272,11657,5,19
43833,57,20470,8,10
43833,23,14830,10,15
43833,59,21031,5,16
43833,173,21384,8,12
43833,127,19128,1,7
43833,20,19462,3,19
43833,137,27295,4,12
43833,18,18660,5,16
43833,221,19894,8,12
43833,269,22856,3,20
43833,203,12750,5,10
43833,32,12958,6,4
43833,64,23026,8,1
43833,219,18191,10,2
43833,28,21550,6,4
43833,79,15229,8,15
43833,179,26085,3,18
43833,155,20508,9,1
43833,116,11231,8,7
43833,151,19757,8,10
43833,38,13205,8,19
43833,130,20112,1,7
43833,245,12414,1,12
43833,152,22206,2,16
43833,286,27309,10,10
43833,287,25420,1,14
43833,200,16350,9,18
43833,215,16260,2,12
43833,54,17196,1,9
43833,63,28811,10,3
43833,159,27008,7,17
43833,29,23493,9,10
43833,15,15623,10,4
43833,190,23833,4,20
43833,258,23467,5,19
43833,116,23714,3,2
43833,140,18024,1,1
43833,266,23413,6,3
43833,262,26236,5,14
43833,218,26799,1,17
43833,265,25449,2,13
43833,173,19956,6,18
43833,51,16007,7,4
43833,269,21512,5,9
43833,61,20462,9,4
43833,222,18361,9,19
43833,3,14372,1,13
43833,243,12401,2,18
43833,132,15797,7,15
43833,91,17694,4,7
43833,47,24477,3,20
43833,191,24289,5,6
43833,46,19380,8,3
43833,256,13361,9,5
43833,168,23165,7,8
43833,275,23496,5,6
43833,68,22223,2,2
43833,9,13561,2,11
43833,243,16508,2,13
43833,28,22751,3,1
43833,165,20135,1,7
43833,243,18191,8,12
43833,68,16169,1,8
43833,236,15763,1,7
43833,111,27351,10,7
43833,146,22783,10,18
43833,60,12526,2,1
43833,235,27894,9,12
43833,255,11315,4,3
43833,134,15937,5,5
43833,159,29087,3,16
43833,95,19565,2,13
43833,229,19727,6,12
43833,153,23663,5,19
43833,167,15913,10,2
43833,230,16242,7,9
43833,138,24656,4,14
43833,98,18071,2,13
